chan_name,x,y,z,dist
0-33,-4.2854,9.3952,0.0009,10.32639512124149
0-34,2.9868,9.6469,0.0013,10.09869565092443
0-35,2.9868,9.6469,0.0013,10.09869565092443
0-36,5.9076,8.2711,0.0008,10.164193670429544
0-37,5.9076,8.2711,0.0008,10.164193670429544
0-38,8.738900000000001,5.0433,0.0012,10.089759566015436
0-39,8.738900000000001,5.0433,0.0012,10.089759566015436
0-40,9.2022,0.8087,0.0004,9.237666400666349
0-41,9.2022,0.8087,0.0004,9.237666400666349
0-42,7.6171,-4.7641,-0.0003,8.984256297546281
0-43,7.6171,-4.7641,-0.0003,8.984256297546281
0-44,4.8329,-8.654399999999999,-0.0005,9.91239435101328
0-45,4.8329,-8.654399999999999,-0.0005,9.91239435101328
0-46,0.6815,-10.0654,-0.0007,10.088444845961146
0-47,0.6815,-10.0654,-0.0007,10.088444845961146
0-48,-3.0544,-8.7981,-0.0009,9.313212279874222
0-49,-3.0544,-8.7981,-0.0009,9.313212279874222
0-50,-6.902299999999999,-5.845899999999999,-0.0011,9.045235878626935
0-51,-6.902299999999999,-5.845899999999999,-0.0011,9.045235878626935
0-52,-9.0464,-1.7024000000000001,-0.0006,9.205189770993318
0-53,-9.0464,-1.7024000000000001,-0.0006,9.205189770993318
0-54,-13.4325,5.0399,-0.0,14.346868935764347
0-55,-13.4325,5.0399,-0.0,14.346868935764347
0-56,-12.0346,8.5916,0.0004,14.78672335982519
0-57,-12.0346,8.5916,0.0004,14.78672335982519
0-58,-9.5348,10.466800000000001,0.0007,14.158612689101995
0-59,-9.5348,10.466800000000001,0.0007,14.158612689101995
0-60,-1.9704000000000002,13.046,0.0016,13.193960442566135
0-61,-1.9704000000000002,13.046,0.0016,13.193960442566135
0-62,0.1844,15.125,0.0021,15.12612403624934
0-63,0.1844,15.125,0.0021,15.12612403624934
0-64,6.7346,11.4903,0.0018,13.318477061961701
0-65,6.7346,11.4903,0.0018,13.318477061961701
0-66,10.4064,7.9834,0.0013,13.115938263044699
0-67,10.4064,7.9834,0.0013,13.115938263044699
0-68,14.4268,4.5098,0.0008,15.115252372355549
0-69,14.4268,4.5098,0.0008,15.115252372355549
0-70,13.4366,1.3022,0.001,13.499553488912143
0-71,13.4366,1.3022,0.001,13.499553488912143
0-72,12.6022,-3.3766,0.0002,13.046718836550438
0-73,12.6022,-3.3766,0.0002,13.046718836550438
0-74,9.1958,-9.4979,-0.0009,13.22016800384927
0-75,9.1958,-9.4979,-0.0009,13.22016800384927
0-76,7.3745,-11.6069,-0.0013,13.751486387296465
0-77,7.3745,-11.6069,-0.0013,13.751486387296465
0-78,2.2496,-13.075099999999999,-0.0009,13.267212976733282
0-79,2.2496,-13.075099999999999,-0.0009,13.267212976733282
0-80,-1.4101000000000001,-15.039299999999999,-0.0017,15.105261550201638
0-81,-1.4101000000000001,-15.039299999999999,-0.0017,15.105261550201638
0-82,-9.1754,-10.7592,-0.0015,14.140309395483538
0-83,-9.1754,-10.7592,-0.0015,14.140309395483538
0-84,-11.6394,-7.6282,-0.0015,13.916359710786438
0-85,-11.6394,-7.6282,-0.0015,13.916359710786438
0-86,-14.2127,-2.7847,-0.001,14.48293462596583
0-87,-14.2127,-2.7847,-0.001,14.48293462596583
1-0,-85.00089999999999,91.5497,0.006,124.9259803679763
1-1,-85.00089999999999,91.5497,0.006,124.9259803679763
1-2,-82.75019999999999,90.3497,0.0055,122.51801455349332
1-3,-82.75019999999999,90.3497,0.0055,122.51801455349332
1-4,-82.75089999999999,87.6493,0.0059,120.54091106881513
1-5,-82.75089999999999,87.6493,0.0059,120.54091106881513
1-6,-85.00049999999999,86.4495,0.0053,121.23778722205383
1-7,-85.00049999999999,86.4495,0.0053,121.23778722205383
